结算项目名称,剂型名称,规格,首先自负比例,医疗项目编码,目录等级,药品名称,生产厂家
西药,片剂,0.4g,5.0%、10.0%、0.0%,8.69008E+13,乙类,吡拉西坦片,上海世康特制药有限公司（国药准字H20067923）
西药,片剂,5mg,5.0%、10.0%、0.0%,86904175000097-1,乙类,格列吡嗪控释片,淄博万杰制药有限公司（国药准字H20046427）
西药,注射剂,按C18H23NO3计算 2ml:20mg,0.0%、0.0%、0.0%,8.69003E+13,甲类,盐酸多巴酚丁胺注射液,广东南国药业有限公司
西药,片剂,30mg,5.0%、10.0%、0.0%,8.69045E+13,乙类,盐酸吡格列酮片,杭州中美华东制药有限公司（国药准字H20060664）
西药,溶液剂,每5ml含福尔可定5.0mg，盐酸曲普利啶0.6mg，盐酸伪麻黄碱15.0mg和愈创木酚甘油醚50.0mg。,100.0%、100.0%、100.0%,8.69791E+13,丙类,复方福尔可定口服溶液[150ml],澳美制药厂
西药,片剂,0.2g,100.0%、100.0%、100.0%,8.69047E+13,丙类,氯唑沙宗片,浙江亚太药业股份有限公司
西药,薄膜衣片,0.25g,5.0%、10.0%、0.0%,8.69025E+13,乙类,奥硝唑片,华东医药(西安)博华制药有限公司（国药准字H20010514）
中成药,胶囊剂,每粒装0.3g,5.0%、10.0%、0.0%,8.69035E+13,乙类,肾复康胶囊,吉林紫鑫药业股份有限公司（国药准字Z22020122）
西药,注射剂,60mg（以泮托拉唑计）,5.0%、10.0%、0.0%,8.69016E+13,乙类,注射用泮托拉唑钠,南京正大天晴制药有限公司（国药准字H20083742）
西药,胶囊剂,80mg,100.0%、100.0%、100.0%,86904495000166-1,丙类,阿瑞匹坦胶囊,Merck Sharp & Dohme Ltd.（国药准字J20160005）
西药,注射剂,100ml盐酸氨溴索30mg与氯化钠0.9g,100.0%、100.0%、100.0%,8.69014E+13,丙类,盐酸氨溴索氯化钠注射液,江苏豪森药业集团有限公司（国药准字H20031120）
西药,口服溶液剂,10ml/瓶,100.0%、100.0%、100.0%,86906903000010-1,丙类,复方锌铁钙,岳阳新华达制药有限公司
中草药,,,0.0%、0.0%,31200313,甲类,白花菜子,
中成药,薄膜衣片,每片重0.3g,5.0%、10.0%、0.0%,8.69022E+13,乙类,癫痫平片,四川诺迪康威光制药有限公司（国药准字Z20025073）
中成药,注射剂,20ml,20.0%、30.0%、0.0%,8.6903E+13,乙类,红花注射液,山西华卫药业有限公司（国药准字Z14020007）
西药,注射剂,1ml:10mg,0.0%、0.0%、0.0%,8.69041E+13,甲类,维生素K1注射液,山东华信制药集团股份有限公司（国药准字H37021473）
西药,颗粒剂,0.125g,5.0%、10.0%、0.0%,86905758001340-1,乙类,头孢克洛颗粒,海口市制药厂有限公司
西药,颗粒剂,每袋装5g(相当于饮片17.3g),20.0%、30.0%,ZA06CAJ0740010100189,乙类,金花清感颗粒,聚协昌(北京)药业有限公司
西药,注射剂,250ml:膦甲酸钠3.0g与氯化钠2.25g,5.0%、10.0%、0.0%,8.69019E+13,乙类,膦甲酸钠氯化钠注射液,武汉大安制药有限公司（国药准字H20066684）
西药,注射剂,1.0mg,20.0%、30.0%、0.0%,8.69785E+13,乙类,注射用硼替佐米,Janssen-Cilag International N. V.（H20100303）
中成药,片剂,每片重1.8g,100.0%、100.0%,8.69052E+13,丙类,西瓜霜清咽含片,桂林三金药业股份有限公司（国药准字B20021030）
西药,片剂,,0.0%、0.0%,xxfyyp013,甲类,维D钙咀嚼片,
西药,片剂,复方,0.0%、0.0%、0.0%,8.69001E+13,甲类,去痛片,北京曙光药业有限责任公司（国药准字H11021064）
西药,注射剂,500ml,20.0%、30.0%,XB05AAQ165B002010100033,乙类,羟乙基淀粉130/0.4电解质注射液,北京费森尤斯卡比医药有限公司
西药,注射剂,2ml:600LSU,100.0%、100.0%、100.0%,8.69782E+13,丙类,舒洛地特注射液,ALFA WASSERMANN S.p.A.（H20130905）
中成药,颗粒剂,每袋装5g,5.0%、10.0%、0.0%,8.69021E+13,乙类,四物颗粒,吉泰安(四川)药业有限公司（国药准字Z20020016）
西药,片剂,25mg,0.0%、0.0%、0.0%,8.69015E+13,甲类,盐酸氯丙嗪片,江苏天士力帝益药业有限公司
西药,注射剂,500ml,10.0%、20.0%、0.0%,8.69014E+13,乙类,钠钾镁钙葡萄糖注射液,江苏恒瑞医药股份有限公司（国药准字H20051995）
中成药,软胶囊,每粒装0.6g,5.0%、10.0%、0.0%,8.69E+13,乙类,丹七软胶囊,北京长城制药厂（国药准字Z20050031）
